"page_num","page","links","abc","brand","name","price","rating","number_of_rating","size1","size2","size3","oldname","size","othersize1","othersize2","othersize3","biggestsize","dollarvalue","perml","per30ml"
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/tammy-fender/plant-milk-I-036547/?cgpath=skincare-serums",9,"Tammy Fender","plant milk 29g","$224.00","5.0","(1 reviews)",NA,NA,NA,"Plant Milk 29g",0,0,0,0,0,224,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/verso/retinol-8-super-serums-I-064190/?cgpath=skincare-serums",9,"VERSO","retinol 8 super serums","$274.00","5.0","(1 reviews)",NA,NA,NA,"Retinol 8 Super Serums",0,0,0,0,0,274,NA,NA
5,"https://www.mecca.com/en-au/skincare/facial-serums/?page=5","https://www.mecca.com/en-au/this-works/morning-expert-hyaluronic-serum-I-037320/?cgpath=skincare-serums",9,"This Works","morning expert hyaluronic serum","$80.00","4.5","(15 reviews)",NA,NA,NA,"Morning Expert Hyaluronic Serum",0,0,0,0,0,80,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/moon-juice/g-pack-glutathione-vitamin-c-powder-I-059030/?cgpath=skincare-serums",9,"Moon Juice","g pack glutathione + vitamin c powder 7.7g","$96.00","0","(Write a review)",NA,NA,NA,"G Pack Glutathione + Vitamin C Powder 7.7g",0,0,0,0,0,96,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/skinstitut/even-blend-serum-I-059296/?cgpath=skincare-serums",9,"Skinstitut","even blend serum","$64.00","0","(Write a review)",NA,NA,NA,"Even Blend Serum",0,0,0,0,0,64,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/kylie-skin/clarifying-serum-I-054505/?cgpath=skincare-serums",9,"Kylie Skin","clarifying serum","$53.00","3.8","(12 reviews)",NA,NA,NA,"Clarifying Serum",0,0,0,0,0,53,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/susanne-kaufmann/lash-brow-serum-I-063191/?cgpath=skincare-serums",9,"Susanne Kaufmann","lash & brow serum","$130.00","0","(Write a review)",NA,NA,NA,"Lash & Brow Serum",0,0,0,0,0,130,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/volition-beauty/skin-rhythm-balancing-clearing-serum-with-salicylic-acid-niacinamide-I-055313/?cgpath=skincare-serums",9,"Volition Beauty","skin rhythm balancing & clearing serum with salicylic acid + niacinamide","$86.00","5.0","(2 reviews)",NA,NA,NA,"Skin Rhythm Balancing & Clearing Serum with Salicylic Acid + Niacinamide",0,0,0,0,0,86,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/josie-maran-cosmetics/argan-bright-skin-vitamin-c-serum-I-040463/?cgpath=skincare-serums",9,"Josie Maran Cosmetics","argan bright skin vitamin c serum","$110.00","4.7","(3 reviews)",NA,NA,NA,"Argan Bright Skin Vitamin C Serum",0,0,0,0,0,110,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/malin-goetz/retinol-correcting-serum-I-058515/?cgpath=skincare-serums",9,"MALIN+GOETZ","retinol correcting serum","$116.00","5.0","(2 reviews)",NA,NA,NA,"Retinol Correcting Serum",0,0,0,0,0,116,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/korres/black-pine-4d-up-lift-contouring-serum-I-054111/?cgpath=skincare-serums",9,"Korres","black pine 4d up-lift contouring serum","$117.00","0","(Write a review)",NA,NA,NA,"BLACK PINE 4D Up-lift Contouring Serum",0,0,0,0,0,117,NA,NA
6,"https://www.mecca.com/en-au/skincare/facial-serums/?page=6","https://www.mecca.com/en-au/perricone-md/vitamin-c-ester-daily-brightening-exfoliating-peel-I-053464/?cgpath=skincare-serums",9,"Perricone MD","vitamin c ester daily brightening & exfoliating peel","$98.00","4.5","(395 reviews)",NA,NA,NA,"Vitamin C Ester Daily Brightening & Exfoliating Peel",0,0,0,0,0,98,NA,NA
